IDENTITE_OPERATEUR;CODE_OPERATEUR;SIRET_ACTEUR;RCS_ACTEUR;ADRESSE_COMPLETE_ACTEUR;ATTRIB_RESS_NUM;DATE_DECLARATION_OPERATEUR
"+2 COM";2COM;"510224702 00017";Paris;"49 RUE DE PONTHIEU 75008 PARIS";0;10/01/2018
"118 218 Le num\xe9ro";LNUM;"478343080 00089";Paris;"CENTRE D AFFAIRES 25 RUE DU MAL FOCH 78000 VERSAILLES";1;09/11/2004
118000;TLGT;"453465379 00056";Paris;"137 BOULEVARD DE SEBASTOPOL 75002 PARIS";1;15/07/2004
17-Numerique;17N;"495105967 00022";"La Rochelle";"ZONE INDUSTRIELLE DES QUATRE CHEVALIER 17180 PERIGNY";1;18/04/2007
1focom;1FCM;"840040109 00018";Cr\xe9teil;"5 AVENUE DU GENERAL DE GAULLE 94160 SAINT MANDE";0;05/04/2022
"2 F IMAGE";2FIM;"401563093 00046";DIJON;"4 ALLEE DU FOUR BANAL 21121 HAUTEVILLE-LES-DIJON";0;21/06/2013
"2C communication";2CIO;"843746025 00017";Paris;"128 RUE DE LA BOETIE 75008 PARIS";1;06/12/2018
"2J digital";2JDI;"877614875 00012";Bobigny;"8/12 RUE DE LISBONNE 93110 ROSNY-SOUS-BOIS";0;20/10/2020
"4 connect";4CNN;"823675350 00032";Nanterre;"16 RUE DES 4 CHEMINEES 92100 BOULOGNE BILLANCOURT";1;17/04/2020
"42com International Ltd";42CM;;"11671364 London, England";"HAMPTON WICK 1 PARK ROAD KT1 4AS KINGSTON UPON THAMES ROYAUME-UNI";0;17/09/2024
440HZ;440H;"790139398 00016";PARIS;"21 RUE JEAN MERMOZ 75008 PARIS";1;15/01/2013
4call;4CLL;"883972978 00026";Montpellier;"21 RUE MARCEL CARNE 34970 LATTES";1;21/06/2020
4Pay;4PAY;"982148413 00015";Paris;"78 AVENUE DES CHAMPS ELYSEES 75008 PARIS";1;26/02/2025
512IT;512T;"882412307 00010";Avignon;"652 CHEMIN DE LA PEYRIERE 84120 PERTUIS";0;30/03/2020
"8x8 UK Limited";VOIC;;"05083841 Register of companies for England and Wales";"OXFORD HOUSE, BELL BUSINESS PARK SMEATON CLOSE, AYLESBURY HP198JR BUCKINGHAMSHIRE ROYAUME-UNI";1;07/06/2016
"@ction telecom";CTIO;"451817860 00039";Agen;"LIEU DIT LA TUQUE 47240 CASTELCULIER";0;09/11/2018
"A.B solutions";ABNS;"837865336 00015";Paris;"26 TER RUE NICOLAI 75012 PARIS";0;07/10/2018
"A.J. Phone";AJPH;"419523709 00048";Rouen;"Z.A. LES PORTES DE L OUEST 9 RUE PIERRE GASSENDI 76150 LA VAUPALIERE";0;01/10/2014
"A.M.I Audit management int\xe9gration";AMIA;"843925611 00017";Versailles;"41 BOULEVARD VAUBAN 78280 GUYANCOURT";0;20/12/2019
A.S.T.R.;ASTT;"504310491 00064";"Le Mans";"152 ETIENNE FALCONET 72100 LE MANS";0;30/03/2023
"A2S Op\xe9rateur";A2SO;"910012236 00014";N\xeemes;"42 ROUTE DE NIMES 30420 CALVISSON";0;16/02/2022
A6tmoi;A6TM;"921789673 00016";PARIS;"6 RUE JADIN 75017 PARIS";0;24/03/2023
Aamset;AAMS;"443399613 00043";PARIS;"05 RUE AMBROISE THOMAS 75009 PARIS";0;19/07/2023
"AB plus";ABPL;"408221208 00023";Nanterre;"183 AVENUE ACHILLE PERETTI 92200 NEUILLY SUR SEINE";1;16/02/2012
AB-secure;ABSC;"813280781 00010";VIENNE;"135 AVENUE DES CEDRES 38280 VILLETTE D ATNHON";0;21/10/2021
"Aba electronique";ABAE;"343657870 00014";Evry;"52 CHEMIN DES SABLONS 91360 EPINAY SUR ORGE";0;25/07/2022
Abaclouda;ABCL;"918585100 00020";Paris;"5 RUE DE CASTIGLIONE 75001 PARIS";1;26/08/2022
"ABCMobile OU";ABMO;;14710834;"71 PETERBURI TEE 11415 TALLINN ESTONIE";1;18/06/2024
Abeille;ABEI;"418048302 00040";"Clermont Ferrand";"5 AVENUE MARECHAL LECLERC 63800 COURNON D AUVERGNE";1;15/06/2011
"ABH telecom";ABHT;"814450318 00021";Paris;"41 BOULEVARD DES CAPUCINES 75002 PARIS";1;26/11/2020
Abicom;ABIC;"381589886 00039";Clermont-Ferrand;"10 ALLEE PIERRE DE FERMAT 63170 AUBIERE";0;10/06/2015
Ablogix;ABGX;"494586399 00011";"LE MANS";"LIEU DIT BELLA VISTA 2830 ROUTE DE PREVELLES 72110 SAINT CELERIN";0;11/09/2015
Absys;ABSS;"398097931 00032";B\xe9ziers;"ZAC DE MERCORENT 229 RUE ALPHONSE BEAU DE ROCHAS 34500 BEZIERS";0;28/12/2022
Access'operateur;ACOP;"878339159 00013";BORDEAUX;"CENTRE SAPHIR 75 PASSAGE DU PARC 33240 SAINT ANDRE DE CUBZAC";0;07/11/2019
"Ace immovation";ACIM;"832804686 00018";Bordeaux;"2 QUAI SAINTE-CROIX 33800 BORDEAUX";0;10/12/2017
"ACN COMMUNICATIONS FRANCE";ACNC;"451364889 00043";Paris;"ESPLANADE DE COURBEVOIE 16 PLACE DE L IRIS 92400 COURBEVOIE";1;10/03/2006
"Acorus ESCI";ACRU;"383967056 00128";"R.C.S. Nanterre";"10 RUE COMMANDANT D'ESTIENNE D'ORVES 92390 VILLENEUVE-LA-GARENNE";0;07/10/2023
Acrib;ACRI;"843960287 00012";Bordeaux;"68B AVENUE JEAN JAURES 33150 CENON";0;11/04/2019
ACRT;ACRT;"419961628 00031";Villefranche-Tarare;"103 RUE RONSARD 69400 VILLEFRANCHE-SUR-SAONE";0;18/07/2018
"Act service";ACTS;"331900753 00038";"La Rochelle";"LES MINIMES 18 RUE DE LA BONETTE 17000 LA ROCHELLE";0;25/10/2018
"ACTEA TELECOM";ACTE;"500355201 00012";Marseille;"PARC D ACTIVITE DE NAPOLLON 230 AVENUE DE PASSE TEMPS 13400 AUBAGNE";0;24/09/2009
"ACTI PHONE SERVICE";APSE;"421632274 00039";LYON;"43 RUE MARYSE BASTIE 69008 LYON";0;08/06/2012
Activatel;ACVA;"488401373 00011";Paris;"149 AVENUE DU MAINE 75014 PARIS";0;24/03/2017
"Activatel SA";ACVL;;CH-170.3.040.096-2;"GRIENBACHSTRASSE 11 6300 ZUG SUISSE";1;06/10/2022
Activeo;ACVE;"391244050 00061";Nanterre;"ISSY 2 41 RUE CAMILLE DESMOULINS 92130 ISSY-LES-MOULINEAUX";0;28/01/2025
"Activo TI S.L.";ACVO;;"ES B64638364";"4 IZQ 171 PASEO DE LA CASTELLANA 28046 MADRID ESPAGNE";0;06/09/2021
